,Source Function / Function / Call Stack,CPU Time (s),Retiring,Front-End Bound,Bad Speculation,L1 Bound,L2 Bound,L3 Bound,Memory Bandwidth,Local DRAM,Remote DRAM,Remote Cache,Store Bound,Core Bound,CPU Time %,config
10,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(unsigned char)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<unsigned char>)#2}>>",89.285,97.4,1.0,0.0,0.0,0.4,0.2,37.0,0.0,0.0,0.0,0.0,6.6,1.0047630167085388,b1024_gpu4_dataloader8
11,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::TensorIteratorBase::loop_2d_from_1d<at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1}>(, signed char, at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1} const&)::{lambda(char**long const*, long, long)#1}>",48.995,19.8,0.7,0.6,18.9,11.8,9.4,81.2,0.0,0.0,0.0,49.5,18.2,0.5513620877374124,b1024_gpu4_dataloader8
12,ImagingPackRGB,36.77,83.4,6.3,7.9,0.4,1.4,0.9,30.9,0.0,0.0,0.0,5.1,1.7,0.41378883490365664,b1024_gpu4_dataloader8
13,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(floatfloat)#1}, at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}>>",33.105,23.8,18.9,2.5,7.1,5.9,26.1,90.1,0.0,0.0,0.0,3.3,18.8,0.3725449926430663,b1024_gpu4_dataloader8
14,__memset_avx2_unaligned_erms,31.99,47.8,26.0,11.4,6.3,0.0,0.0,10.4,0.0,0.0,0.0,6.2,3.8,0.3599974117097626,b1024_gpu4_dataloader8
15,ImagingFlipLeftRight,24.27,83.5,1.8,0.0,2.6,2.6,1.1,25.7,0.0,0.0,0.0,9.2,14.1,0.2731208872208796,b1024_gpu4_dataloader8
16,_int_free,9.39,24.3,53.2,7.7,11.5,0.0,14.9,35.5,8.6,0.0,0.0,0.0,2.3,0.10566976229930201,b1024_gpu4_dataloader8
17,__libc_calloc,2.275,23.9,52.3,0.0,37.1,0.0,29.3,21.5,0.0,0.0,0.0,29.3,11.1,0.025601566478265395,b1024_gpu4_dataloader8
18,decode_mcu,1967.557,41.2,8.5,43.5,17.0,0.2,0.1,7.7,0.0,0.0,0.0,0.1,4.1,20.57915974613322,b1024_gpu4_dataloader12
19,jpeg_idct_islow,1564.456,69.6,3.3,5.2,2.1,0.0,0.0,6.3,0.0,0.0,0.0,0.3,20.2,16.36302782577409,b1024_gpu4_dataloader12
20,ImagingResampleHorizontal_8bpc,692.781,88.5,1.7,0.5,1.0,0.0,0.1,8.8,0.0,0.0,0.0,0.0,8.5,7.245965869393323,b1024_gpu4_dataloader12
21,ycc_rgb_convert,568.356,85.1,1.0,1.6,0.4,0.0,0.0,6.5,0.0,0.0,0.0,0.8,10.5,5.9445743715039985,b1024_gpu4_dataloader12
22,__memmove_avx_unaligned_erms,338.375,5.6,1.4,0.0,25.1,9.6,18.3,51.6,77.3,0.0,0.0,78.8,10.3,3.539146860343984,b1024_gpu4_dataloader12
23,jpeg_idct_16x16,245.345,84.4,1.6,0.8,0.6,0.0,0.0,6.1,0.0,0.0,0.0,1.0,12.4,2.566123343778633,b1024_gpu4_dataloader12
24,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>",236.31,4.8,0.8,0.0,15.7,9.8,16.8,75.5,100.0,100.0,0.0,89.4,5.0,2.4716240696502014,b1024_gpu4_dataloader12
25,"at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0",178.76,12.5,0.6,0.0,23.8,13.5,11.6,88.4,0.9,0.0,0.0,13.1,35.3,1.8696945482233929,b1024_gpu4_dataloader12
26,decompress_onepass,154.68,48.3,5.7,20.4,3.4,0.1,0.1,6.3,0.0,0.0,0.0,0.6,21.8,1.617835940474348,b1024_gpu4_dataloader12
27,ImagingUnpackRGB,153.01,86.8,6.1,0.0,1.3,0.0,0.0,6.8,0.0,0.0,0.0,4.1,6.4,1.6003690021462371,b1024_gpu4_dataloader12
28,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(unsigned char)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<unsigned char>)#2}>>",93.935,94.2,1.6,2.9,0.0,0.2,0.3,19.8,0.0,0.0,0.0,0.0,1.1,0.9824891328449565,b1024_gpu4_dataloader12
29,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::TensorIteratorBase::loop_2d_from_1d<at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1}>(, signed char, at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1} const&)::{lambda(char**long const*, long, long)#1}>",62.175,16.4,0.9,0.6,26.1,12.6,7.6,71.9,0.0,0.0,0.0,61.7,22.5,0.6503035272756179,b1024_gpu4_dataloader12
30,ImagingPackRGB,41.235,67.7,5.2,3.0,0.1,1.6,1.1,25.6,0.0,0.0,0.0,9.0,15.7,0.431286947281224,b1024_gpu4_dataloader12
31,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(floatfloat)#1}, at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}>>",35.97,26.3,20.9,0.0,1.7,5.3,27.1,92.7,0.0,0.0,0.0,3.6,21.8,0.37621902494739007,b1024_gpu4_dataloader12
32,__memset_avx2_unaligned_erms,33.95,44.5,22.9,22.1,1.9,1.1,0.0,7.6,0.0,0.0,0.0,7.9,7.2,0.35509135104153167,b1024_gpu4_dataloader12
33,ImagingFlipLeftRight,28.07,85.0,1.7,0.0,2.4,3.2,1.7,22.7,0.0,0.0,0.0,11.9,6.3,0.2935909933353695,b1024_gpu4_dataloader12
34,_int_free,10.335,16.8,47.2,11.1,8.2,3.4,25.6,32.4,9.4,0.0,0.0,1.9,10.2,0.1080962919886371,b1024_gpu4_dataloader12
35,__libc_calloc,2.74,9.7,61.9,10.2,43.1,0.0,18.5,10.8,0.0,0.0,0.0,24.6,3.0,0.028658329951510953,b1024_gpu4_dataloader12
36,decode_mcu,2027.917,41.8,9.4,43.0,17.9,0.3,0.3,6.3,0.0,0.0,0.0,0.1,3.5,19.297621565955698,b1024_gpu4_dataloader16
37,jpeg_idct_islow,1640.732,72.7,4.2,6.7,2.5,0.0,0.0,5.4,0.0,0.0,0.0,0.6,15.0,15.613176095054001,b1024_gpu4_dataloader16
38,ImagingResampleHorizontal_8bpc,764.261,86.9,2.6,0.0,2.1,0.2,0.1,9.8,0.0,0.0,0.0,0.0,10.2,7.2726938802815235,b1024_gpu4_dataloader16
39,ycc_rgb_convert,618.421,89.2,2.4,0.0,1.1,0.2,0.1,5.9,0.0,0.0,0.0,0.8,8.6,5.884883072847601,b1024_gpu4_dataloader16
40,__memmove_avx_unaligned_erms,391.81,5.5,2.0,0.0,28.2,7.4,14.9,48.4,91.0,1.8,0.0,80.3,9.1,3.7284568874155606,b1024_gpu4_dataloader16
41,jpeg_idct_16x16,272.715,88.4,3.1,0.0,1.7,0.0,0.0,5.0,0.0,0.0,0.0,1.5,9.3,2.595151017206132,b1024_gpu4_dataloader16
42,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>",255.365,5.8,2.1,0.0,15.2,10.6,16.9,75.6,100.0,100.0,0.0,89.2,6.8,2.4300487303919622,b1024_gpu4_dataloader16
43,"at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0",200.63,13.5,1.3,0.0,24.9,12.5,11.3,85.3,0.0,0.0,0.0,12.9,32.8,1.9091914584165384,b1024_gpu4_dataloader16
44,ImagingUnpackRGB,161.105,87.1,7.2,0.0,2.9,0.1,0.0,6.1,0.0,0.0,0.0,4.4,4.8,1.5330722718845458,b1024_gpu4_dataloader16
45,decompress_onepass,159.93,54.1,7.9,25.7,6.3,0.2,0.4,6.2,0.0,0.0,0.0,1.0,10.1,1.5218909930945375,b1024_gpu4_dataloader16
46,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(unsigned char)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<unsigned char>)#2}>>",104.62,91.7,1.3,1.1,2.4,0.2,0.5,18.5,0.0,0.0,0.0,0.1,4.7,0.9955620314984712,b1024_gpu4_dataloader16
47,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::TensorIteratorBase::loop_2d_from_1d<at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1}>(, signed char, at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1} const&)::{lambda(char**long const*, long, long)#1}>",77.735,14.3,1.1,0.0,34.1,12.5,6.1,65.2,0.0,0.0,0.0,62.0,16.8,0.7397248568011247,b1024_gpu4_dataloader16
48,ImagingPackRGB,45.58,72.8,6.7,4.8,3.2,1.2,1.8,24.1,0.0,0.0,0.0,11.8,10.4,0.4337384572328457,b1024_gpu4_dataloader16
49,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(floatfloat)#1}, at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}>>",37.295,27.6,23.1,0.0,2.2,10.9,23.9,92.6,7.3,0.0,0.0,2.7,23.6,0.3548985467858486,b1024_gpu4_dataloader16
50,__memset_avx2_unaligned_erms,35.695,45.1,29.8,29.6,5.7,0.1,0.0,7.7,0.0,0.0,0.0,11.5,0.0,0.33967297566753896,b1024_gpu4_dataloader16
51,ImagingFlipLeftRight,31.18,79.4,2.2,1.7,7.2,2.8,1.5,18.4,0.0,0.0,0.0,13.5,7.5,0.29670831716805895,b1024_gpu4_dataloader16
52,_int_free,11.32,25.2,53.6,0.0,14.5,0.0,26.7,31.6,14.7,0.0,0.0,0.0,7.4,0.10772091566204064,b1024_gpu4_dataloader16
53,__libc_calloc,2.54,11.6,38.0,1.8,39.0,0.0,22.7,9.7,0.0,0.0,0.0,22.7,2.8,0.024170594150316544,b1024_gpu4_dataloader16
54,decode_mcu,2284.087,45.4,11.8,39.6,19.9,0.8,0.4,8.9,0.0,0.0,0.0,0.3,1.9,18.802239258107043,b1024_gpu4_dataloader20
55,jpeg_idct_islow,1960.072,76.5,7.6,5.9,3.8,0.1,0.1,8.3,0.0,0.0,0.0,0.7,9.1,16.13499954560242,b1024_gpu4_dataloader20
56,ImagingResampleHorizontal_8bpc,957.131,89.9,5.6,0.6,6.2,0.3,0.2,13.9,0.4,0.0,0.0,0.0,3.2,7.878949472306114,b1024_gpu4_dataloader20
57,ycc_rgb_convert,806.356,85.2,6.2,1.6,3.5,0.2,0.3,9.0,0.0,0.0,0.0,0.6,6.2,6.6377937614504905,b1024_gpu4_dataloader20
58,__memmove_avx_unaligned_erms,426.24,5.9,2.4,0.1,24.3,8.5,11.5,49.1,100.0,0.0,0.0,82.9,6.5,3.5087395801366354,b1024_gpu4_dataloader20
59,jpeg_idct_16x16,336.225,88.3,8.1,0.5,3.8,0.1,0.1,7.5,0.0,0.0,0.0,2.0,2.8,2.767750481727291,b1024_gpu4_dataloader20
60,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>",264.645,6.1,3.4,0.4,16.9,8.9,15.5,76.7,100.0,100.0,0.0,84.4,4.8,2.1785153579796823,b1024_gpu4_dataloader20
61,"at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0",203.585,15.1,4.2,0.0,23.4,16.8,11.5,89.7,0.8,0.0,0.0,13.4,28.3,1.6758791934640507,b1024_gpu4_dataloader20
62,ImagingUnpackRGB,200.04,87.6,7.8,0.0,7.0,0.5,0.0,9.4,0.0,5.3,0.0,5.5,4.8,1.64669731984453,b1024_gpu4_dataloader20
63,decompress_onepass,189.185,53.9,14.0,21.1,12.6,0.5,0.5,8.8,0.0,0.0,0.0,2.0,6.6,1.5573406941351102,b1024_gpu4_dataloader20
64,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(unsigned char)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<unsigned char>)#2}>>",134.0,100.0,2.7,0.0,7.0,0.3,0.8,21.9,0.0,0.0,0.0,0.4,0.0,1.1030665909776396,b1024_gpu4_dataloader20
65,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::TensorIteratorBase::loop_2d_from_1d<at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1}>(, signed char, at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1} const&)::{lambda(char**long const*, long, long)#1}>",86.7,15.6,2.5,0.0,33.1,12.8,7.7,58.2,0.0,0.0,0.0,60.1,14.8,0.7137005480429953,b1024_gpu4_dataloader20
66,ImagingPackRGB,55.04,74.4,5.5,0.4,7.7,1.7,1.3,20.0,0.0,0.0,0.0,9.6,12.9,0.4530804863239499,b1024_gpu4_dataloader20
67,__memset_avx2_unaligned_erms,43.44,37.5,25.6,16.6,9.9,1.3,0.0,9.3,0.0,0.0,0.0,16.7,10.1,0.3575911396423035,b1024_gpu4_dataloader20
68,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(floatfloat)#1}, at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}>>",42.63,28.5,23.5,2.7,7.9,10.6,20.0,90.2,6.2,0.0,0.0,4.3,17.8,0.3509233490550506,b1024_gpu4_dataloader20
69,ImagingFlipLeftRight,36.855,76.6,3.3,3.5,7.2,3.7,2.1,16.9,0.0,0.0,0.0,9.1,10.6,0.3033844717200068,b1024_gpu4_dataloader20
70,_int_free,11.54,15.8,42.8,21.2,18.5,0.0,25.4,25.7,7.2,0.0,0.0,0.4,5.1,0.09499543626777583,b1024_gpu4_dataloader20
71,__libc_calloc,2.9,20.1,70.4,9.0,33.4,5.6,5.9,16.7,0.0,0.0,0.0,20.9,0.0,0.023872336670411606,b1024_gpu4_dataloader20
72,decode_mcu,2461.107,47.1,13.7,38.2,20.8,1.0,0.5,9.9,0.0,0.0,0.0,0.3,0.6,18.689473059509908,b1024_gpu4_dataloader24
73,jpeg_idct_islow,2188.162,78.0,9.4,3.3,4.6,0.1,0.1,8.9,0.0,0.0,0.0,0.9,8.3,16.6167479710729,b1024_gpu4_dataloader24
74,ImagingResampleHorizontal_8bpc,1029.481,95.5,8.3,0.8,8.3,0.5,0.2,17.0,0.1,0.0,0.0,0.0,0.0,7.81780613958569,b1024_gpu4_dataloader24
75,ycc_rgb_convert,920.831,82.1,9.2,2.1,4.4,0.2,0.3,10.0,0.1,0.0,0.0,0.4,5.8,6.992725698988937,b1024_gpu4_dataloader24
76,__memmove_avx_unaligned_erms,420.005,6.4,3.6,0.4,23.7,7.6,10.8,49.0,100.0,0.5,0.0,83.9,9.3,3.189488361277855,b1024_gpu4_dataloader24
77,jpeg_idct_16x16,384.48,85.8,10.3,0.0,5.2,0.0,0.0,9.8,0.0,0.0,0.0,2.8,3.4,2.919714015652456,b1024_gpu4_dataloader24
78,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>",259.045,6.8,4.4,0.3,14.4,12.4,15.8,78.2,100.0,100.0,0.0,87.0,5.4,1.9671694683330485,b1024_gpu4_dataloader24
79,ImagingUnpackRGB,244.995,89.4,8.0,1.9,7.9,0.4,0.0,10.7,0.0,0.0,0.0,5.4,0.5,1.8604747588035098,b1024_gpu4_dataloader24
80,decompress_onepass,210.795,53.8,19.0,20.8,14.7,0.7,0.6,8.9,0.0,0.0,0.0,2.2,3.2,1.6007623697707536,b1024_gpu4_dataloader24
81,"at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0",190.74,19.2,6.8,0.7,24.7,17.6,13.7,94.8,0.0,0.0,0.0,14.3,27.2,1.4484661135704053,b1024_gpu4_dataloader24
82,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(unsigned char)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<unsigned char>)#2}>>",140.685,100.0,3.7,0.0,9.7,0.9,0.7,23.2,0.0,0.0,0.0,0.5,0.0,1.0683519722536041,b1024_gpu4_dataloader24
83,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::TensorIteratorBase::loop_2d_from_1d<at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1}>(, signed char, at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1} const&)::{lambda(char**long const*, long, long)#1}>",90.96,17.5,4.6,0.6,36.4,14.5,7.9,58.5,0.0,0.0,0.0,57.9,15.7,0.6907438276730841,b1024_gpu4_dataloader24
84,ImagingPackRGB,61.045,84.5,9.4,3.0,9.7,1.4,2.5,21.1,0.0,0.0,0.0,11.2,1.9,0.46357142656446154,b1024_gpu4_dataloader24
85,__memset_avx2_unaligned_erms,46.985,37.6,30.7,8.5,7.9,0.7,0.0,10.9,0.0,0.0,0.0,21.3,9.0,0.35680077773988406,b1024_gpu4_dataloader24
